"SaM Extensions","SaM Extensions"
"SaM Bestsellers","SaM Bestsellers"
"SaM Bestsellers Settings","SaM Bestsellers Settings"
"Enable SaM Bestseller","Enable SaM Bestseller"
"Position","Position"
"Count of Bestseller Product in List","Count of Bestseller Product in List"
"Message","Message"
"Period in Days","Period in Days"
"Right","Right"
"Left","Left"

